Time,enc_1,enc_2,Robx,Roby,PlayerX,PlayerY,CirclePosX,CirclePosY,circleRadius,TargetPos1,TargetPos2,targetRadii,CurrentStat
2024-07-05 15:12:39.709,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.718,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.729,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.735,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.742,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.750,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.759,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.767,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.776,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.783,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.791,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.800,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.808,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.817,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.825,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.833,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.842,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.849,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.858,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.866,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.876,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.884,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.891,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.900,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
